cell_id,sample_id,confidence
aallcopa-1,TMA00303,Middle
acpnmbio-1,TMA00303,Middle
cbhmmeof-1,TMA00304,High
bpoikicj-1,TMA00304,High
apeeemip-1,TMA00304,Middle
agbmnepe-1,TMA00304,High
hjjgalia-1,TMA00305,High
hjjkhdhk-1,TMA00305,High
mnhcfodp-1,TMA00305,High
akcoadof-1,TMA00305,High
bgmdeeeb-1,TMA00305,High
ijnggkoc-1,TMA00306,High
bmjgagok-1,TMA00306,High
llknggjo-1,TMA00306,High
llmfnafp-1,TMA00306,High
llmgffik-1,TMA00306,High
ikjbpmlk-1,TMA00312,High
ebnbhhob-1,TMA00312,High
aefmnmje-1,TMA00311,High
bcmkpnkd-1,TMA00311,Low
iidhhibl-1,TMA00311,Middle
aapmhgin-1,TMA00307,High
