cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaabfmch-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaacccba-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
aaacmfei-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
aaagahco-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaaipead-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
aaanfabg-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aabdbeob-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
aabeggdk-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aabggfhl-1,TMA00315,C-LTMR,False,False,False,C-LTMR
aabhmmmo-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
aabhplhf-1,TMA00315,Adelta-LTMR,False,False,False,Adelta-LTMR
aacegfin-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aacekikc-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aacfmage-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
aacibbgb-1,TMA00315,CGRP-Zeta,False,False,False,CGRP-Zeta
aacijcne-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aacmfbin-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aacniogf-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
aacpnkbp-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
aadeioam-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aadhfiha-1,TMA00315,TrpM8,False,False,False,TrpM8
aadkggbl-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aadnkkak-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaeafaeg-1,TMA00315,TrpM8,False,False,False,TrpM8
aaemegop-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aafcdejk-1,TMA00315,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaffgpen-1,TMA00315,Proprioceptors,False,False,False,Proprioceptors
aafhlngj-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aafjfmjf-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aaflofhp-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aafoodgl-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aagbddif-1,TMA00315,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aaggakfc-1,TMA00315,Adelta-LTMR,False,False,False,Adelta-LTMR
aaggkphb-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaghblfb-1,TMA00315,C-LTMR,False,False,False,C-LTMR
aagipikf-1,TMA00315,CGRP-Eta,False,False,False,CGRP-Eta
aagkgljk-1,TMA00315,Abeta-Field,False,False,False,Abeta-Field
aaglcben-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aagpnhdb-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aahhcjmb-1,TMA00315,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aahilneo-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aahonaie-1,TMA00315,C-LTMR,False,False,False,C-LTMR
aahpglna-1,TMA00315,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaibhiea-1,TMA00315,C-LTMR,False,False,False,C-LTMR
