cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aabglidd-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
aabjnhih-1,TMA00318,Proprioceptors,False,False,False,none
aablaoak-1,TMA00318,Proprioceptors,False,False,False,none
aablffff-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aabpkpbk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aacaoile-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aaccmmjg-1,TMA00318,CGRP-Eta,False,False,False,none
aacginho-1,TMA00318,Adelta-LTMR,False,False,False,none
aacigdkk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aadaiegm-1,TMA00318,Proprioceptors,False,False,False,none
aadiignh-1,TMA00318,Abeta-Field,False,False,False,none
aaelejgn-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
aaeobihh-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
aafbcnmo-1,TMA00318,CGRP-Zeta,False,False,False,none
aaffnofi-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aafndada-1,TMA00318,C-LTMR,False,False,False,none
aagbhelh-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
aaggcmkp-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aaicdobg-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
aailfdhi-1,TMA00318,CGRP-Alpha,False,False,False,none
aajaffan-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aanadnmh-1,TMA00318,Proprioceptors,False,False,False,none
aancalka-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aanfjhjp-1,TMA00318,TrpM8,False,False,False,none
aaolgfhc-1,TMA00318,CGRP-Epsilion,False,False,False,none
aaomiikn-1,TMA00318,TrpM8,False,False,False,none
aapdahgj-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aapfanjm-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
aapfemkb-1,TMA00318,CGRP-Gamma 1,False,False,False,none
aapghjhe-1,TMA00318,Proprioceptors,False,False,False,none
abaagonj-1,TMA00318,CGRP-Eta,False,False,False,none
abacefjb-1,TMA00318,CGRP-Eta,False,False,False,none
abaoccmh-1,TMA00318,CGRP-Eta,False,False,False,none
abbalkia-1,TMA00318,Proprioceptors,False,False,False,none
abbddiop-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
abbfcjda-1,TMA00318,Proprioceptors,True,False,False,EGFP_Seq1_hi
abbhdggp-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abbldofm-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abbnlloh-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abcebdmj-1,TMA00318,CGRP-Eta,False,False,False,none
abchojki-1,TMA00318,CGRP-Epsilion,False,False,False,none
abcimoan-1,TMA00318,Proprioceptors,False,False,False,none
abclbeno-1,TMA00318,Adelta-LTMR,False,False,False,none
abconjof-1,TMA00318,CGRP-Zeta,False,False,False,none
abcoollc-1,TMA00318,C-LTMR,False,False,False,none
abdcgokd-1,TMA00318,TrpM8,False,False,False,none
abdehjcp-1,TMA00318,Sst,False,False,False,none
abdhmaic-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abdhopma-1,TMA00318,Proprioceptors,False,False,False,none
abdnbkkd-1,TMA00318,Proprioceptors,False,False,False,none
abdndjmi-1,TMA00318,CGRP-Zeta,False,False,False,none
abecablp-1,TMA00318,CGRP-Theta,False,False,False,none
abecccoi-1,TMA00318,C-LTMR,False,False,False,none
abecgjpa-1,TMA00318,CGRP-Theta,False,False,False,none
abehmfjf-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
abejggpc-1,TMA00318,Abeta-RA-LTMR,False,False,False,none
abfankef-1,TMA00318,CGRP-Eta,False,False,False,none
abfigeah-1,TMA00318,C-LTMR,False,False,False,none
abfkbcim-1,TMA00318,CGRP-Gamma 1,False,False,False,none
abflodbh-1,TMA00318,CGRP-Epsilion,False,False,False,none
abgaehop-1,TMA00318,Abeta-Field,False,False,False,none
abgaffhf-1,TMA00318,Abeta-Field,False,False,False,none
abgbjldg-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,none
