cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aabglidd-1,TMA00318,False,False,False,none
aabjnhih-1,TMA00318,False,False,False,none
aablaoak-1,TMA00318,False,False,False,none
aablffff-1,TMA00318,False,False,False,none
aabpkpbk-1,TMA00318,False,False,False,none
aacaoile-1,TMA00318,False,False,False,none
aaccmmjg-1,TMA00318,False,False,False,none
aacginho-1,TMA00318,False,False,False,none
aacigdkk-1,TMA00318,False,False,False,none
aadaiegm-1,TMA00318,False,False,False,none
aadiignh-1,TMA00318,False,False,False,none
aadjeimi-1,TMA00318,False,False,False,none
aadnegpl-1,TMA00318,False,False,False,none
aadpoiad-1,TMA00318,False,False,False,none
aaealjio-1,TMA00318,False,False,False,none
aaelejgn-1,TMA00318,False,False,False,none
aaeoajbp-1,TMA00318,False,False,False,none
aaeobihh-1,TMA00318,False,False,False,none
aafbcnmo-1,TMA00318,False,False,False,none
aaffnofi-1,TMA00318,False,False,False,none
aafndada-1,TMA00318,False,False,False,none
aafohmic-1,TMA00318,False,False,False,none
aagbhelh-1,TMA00318,False,False,False,none
aaggcmkp-1,TMA00318,False,False,False,none
aagigpin-1,TMA00318,False,False,False,none
aagkhgcj-1,TMA00318,False,False,False,none
aagmmdpm-1,TMA00318,False,False,False,none
aagnmech-1,TMA00318,False,False,False,none
aagpcdoc-1,TMA00318,False,False,False,none
aahbilil-1,TMA00318,False,False,False,none
aahdegho-1,TMA00318,False,False,False,none
aaheeifa-1,TMA00318,False,False,False,none
aahhggnl-1,TMA00318,False,False,False,none
aahhojnm-1,TMA00318,False,False,False,none
aahpjfcm-1,TMA00318,False,False,False,none
aaicdobg-1,TMA00318,False,False,False,none
aaihpomi-1,TMA00318,False,False,False,none
aaiiipkl-1,TMA00318,False,False,False,none
aailfdhi-1,TMA00318,False,False,False,none
aailnedp-1,TMA00318,False,False,False,none
aaipecoo-1,TMA00318,False,False,False,none
aaipepoi-1,TMA00318,False,False,False,none
aajaffan-1,TMA00318,False,False,False,none
aajinfpa-1,TMA00318,False,False,False,none
aajlgiej-1,TMA00318,False,False,False,none
aajmpill-1,TMA00318,False,False,False,none
aajofacj-1,TMA00318,False,False,False,none
aajolimp-1,TMA00318,False,False,False,none
aakmkglc-1,TMA00318,False,False,False,none
aalbfeeb-1,TMA00318,False,False,False,none
aalnfjmk-1,TMA00318,False,False,False,none
aanadnmh-1,TMA00318,False,False,False,none
aancalka-1,TMA00318,False,False,False,none
aanfjhjp-1,TMA00318,False,False,False,none
aankgjel-1,TMA00318,False,False,False,none
aaokedgm-1,TMA00318,False,False,False,none
aaolgfhc-1,TMA00318,False,False,False,none
aaomiikn-1,TMA00318,False,False,False,none
aapdahgj-1,TMA00318,False,False,False,none
aapfanjm-1,TMA00318,False,False,False,none
aapfemkb-1,TMA00318,False,False,False,none
aapghjhe-1,TMA00318,False,False,False,none
aaphmonj-1,TMA00318,False,False,False,none
aapjkeng-1,TMA00318,False,False,False,none
aapjmpga-1,TMA00318,False,False,False,none
abaagonj-1,TMA00318,False,False,False,none
abacefjb-1,TMA00318,False,False,False,none
abalcbgk-1,TMA00318,False,False,False,none
abaoccmh-1,TMA00318,False,False,False,none
abbalkia-1,TMA00318,False,False,False,none
abbddiop-1,TMA00318,False,False,False,none
abbfcjda-1,TMA00318,True,False,False,EGFP_Seq1_hi
abbglgcm-1,TMA00318,False,False,False,none
abbhdggp-1,TMA00318,False,False,False,none
abbldofm-1,TMA00318,False,False,False,none
abbnlloh-1,TMA00318,False,False,False,none
abcebdmj-1,TMA00318,False,False,False,none
abchojki-1,TMA00318,False,False,False,none
abcimoan-1,TMA00318,False,False,False,none
abclbeno-1,TMA00318,False,False,False,none
abconjof-1,TMA00318,False,False,False,none
abcoollc-1,TMA00318,False,False,False,none
abdcgokd-1,TMA00318,False,False,False,none
abdehjcp-1,TMA00318,False,False,False,none
abdhmaic-1,TMA00318,False,False,False,none
abdhopma-1,TMA00318,False,False,False,none
abdnbkkd-1,TMA00318,False,False,False,none
abdndjmi-1,TMA00318,False,False,False,none
abecablp-1,TMA00318,False,False,False,none
abecccoi-1,TMA00318,False,False,False,none
abecekma-1,TMA00318,False,False,False,none
abecgjpa-1,TMA00318,False,False,False,none
abehmfjf-1,TMA00318,False,False,False,none
abejggpc-1,TMA00318,False,False,False,none
abfankef-1,TMA00318,False,False,False,none
abfigeah-1,TMA00318,False,False,False,none
abfkbcim-1,TMA00318,False,False,False,none
abflodbh-1,TMA00318,False,False,False,none
abfnjdgn-1,TMA00318,False,False,False,none
abgaehop-1,TMA00318,False,False,False,none
abgaffhf-1,TMA00318,False,False,False,none
abgbjldg-1,TMA00318,False,False,False,none
abgboabp-1,TMA00318,False,False,False,none
abgenmni-1,TMA00318,False,False,False,none
abgfbcjc-1,TMA00318,False,False,False,none
abghbakn-1,TMA00318,False,False,False,none
abgpoinn-1,TMA00318,False,False,False,none
abhgfdgh-1,TMA00318,False,False,False,none
abhijdlp-1,TMA00318,False,False,False,none
abhlfjgp-1,TMA00318,False,False,False,none
abibfego-1,TMA00318,False,False,False,none
abibjced-1,TMA00318,False,False,False,none
abicggbe-1,TMA00318,False,False,False,none
abigojfn-1,TMA00318,False,False,False,none
abjbfklj-1,TMA00318,False,False,False,none
abjbgefh-1,TMA00318,False,False,False,none
abjffcdf-1,TMA00318,False,False,False,none
abjhblng-1,TMA00318,False,False,False,none
abjocnnl-1,TMA00318,False,False,False,none
abjooegd-1,TMA00318,False,False,False,none
abkggead-1,TMA00318,False,False,False,none
abkiccgi-1,TMA00318,False,False,False,none
abklhnml-1,TMA00318,False,False,False,none
abkmfjke-1,TMA00318,False,False,False,none
abkmjbfe-1,TMA00318,False,False,False,none
ablfeakp-1,TMA00318,False,False,False,none
ablfghml-1,TMA00318,False,False,False,none
abliceoc-1,TMA00318,False,False,False,none
abljfamn-1,TMA00318,False,False,False,none
ablnidjc-1,TMA00318,False,False,False,none
ablogepa-1,TMA00318,True,False,False,EGFP_Seq1_hi
ablpaeik-1,TMA00318,False,False,False,none
abmajimf-1,TMA00318,False,False,False,none
abmiekfd-1,TMA00318,False,False,False,none
abmjlmah-1,TMA00318,False,False,False,none
abncaikb-1,TMA00318,False,False,False,none
abndjnpn-1,TMA00318,False,False,False,none
abnfadof-1,TMA00318,False,False,False,none
abnhdkoa-1,TMA00318,False,False,False,none
abnmhhbo-1,TMA00318,False,False,False,none
abnmjohg-1,TMA00318,False,False,False,none
abobbhch-1,TMA00318,False,False,False,none
abobnfod-1,TMA00318,False,False,False,none
aboboohn-1,TMA00318,False,False,False,none
aboegmlb-1,TMA00318,False,False,False,none
abofhgdo-1,TMA00318,False,False,False,none
aboibjej-1,TMA00318,False,False,False,none
aboifoni-1,TMA00318,False,False,False,none
abopdbin-1,TMA00318,False,False,False,none
aboplcnk-1,TMA00318,False,False,False,none
abpdloek-1,TMA00318,False,False,False,none
abpfdeap-1,TMA00318,False,False,False,none
abpfpkkn-1,TMA00318,False,False,False,none
abpgcndn-1,TMA00318,False,False,False,none
abpgjiap-1,TMA00318,False,False,False,none
acapcbfb-1,TMA00318,False,False,False,none
acbiebkl-1,TMA00318,False,False,False,none
acbkoehk-1,TMA00318,False,False,False,none
acblkdpc-1,TMA00318,False,False,False,none
acbodjdp-1,TMA00318,False,False,False,none
acbohafh-1,TMA00318,False,False,False,none
acccdfle-1,TMA00318,False,False,False,none
accehine-1,TMA00318,False,False,False,none
acdamepi-1,TMA00318,False,False,False,none
acdfjmbb-1,TMA00318,False,False,False,none
acdigjcc-1,TMA00318,False,False,False,none
acdjnike-1,TMA00318,False,False,False,none
acdmbcbj-1,TMA00318,False,False,False,none
acdpemml-1,TMA00318,False,False,False,none
acejjmjb-1,TMA00318,False,False,False,none
acenldkp-1,TMA00318,False,True,False,dTomato_Seq2_hi
acfbopij-1,TMA00318,False,False,False,none
acfeanhj-1,TMA00318,False,False,False,none
acffokjl-1,TMA00318,False,False,False,none
