cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaabfmch-1,TMA00315,False,False,False,none
aaacccba-1,TMA00315,False,False,False,none
aaacmfei-1,TMA00315,False,False,False,none
aaagahco-1,TMA00315,False,False,False,none
aaaipead-1,TMA00315,False,False,False,none
aaanfabg-1,TMA00315,False,False,False,none
aabdbeob-1,TMA00315,False,False,False,none
aabeggdk-1,TMA00315,False,False,False,none
aabggfhl-1,TMA00315,False,False,False,none
aabhmmmo-1,TMA00315,False,False,False,none
aabhplhf-1,TMA00315,False,False,False,none
aabkdeld-1,TMA00315,False,False,False,none
aacbkfmc-1,TMA00315,False,False,False,none
aacegfin-1,TMA00315,False,False,False,none
aacekikc-1,TMA00315,False,False,False,none
aacfmage-1,TMA00315,False,False,False,none
aacibbgb-1,TMA00315,False,False,False,none
aacijcne-1,TMA00315,False,False,False,none
aacmfbin-1,TMA00315,False,False,False,none
aacniogf-1,TMA00315,False,False,False,none
aacpnkbp-1,TMA00315,False,False,False,none
aadeioam-1,TMA00315,False,False,False,none
aadhfiha-1,TMA00315,False,False,False,none
aadkggbl-1,TMA00315,False,False,False,none
aadlkjag-1,TMA00315,False,False,False,none
aadnkkak-1,TMA00315,False,False,False,none
aaeafaeg-1,TMA00315,False,False,False,none
aaemegop-1,TMA00315,False,False,False,none
aafcdejk-1,TMA00315,False,False,False,none
aaffgpen-1,TMA00315,False,False,False,none
aafhlngj-1,TMA00315,False,False,False,none
aafilkne-1,TMA00315,False,False,False,none
aafjfmjf-1,TMA00315,False,False,False,none
aaflofhp-1,TMA00315,False,False,False,none
aafoodgl-1,TMA00315,False,False,False,none
aagbddif-1,TMA00315,False,False,False,none
aaggakfc-1,TMA00315,False,False,False,none
aaggkphb-1,TMA00315,False,False,False,none
aaghblfb-1,TMA00315,False,False,False,none
aagipikf-1,TMA00315,False,False,False,none
aagkgljk-1,TMA00315,False,False,False,none
aaglcben-1,TMA00315,False,False,False,none
aagpnhdb-1,TMA00315,False,False,False,none
aahcfpnd-1,TMA00315,False,False,False,none
aahhcjmb-1,TMA00315,False,False,False,none
aahilneo-1,TMA00315,False,False,False,none
aahonaie-1,TMA00315,False,False,False,none
aahpglna-1,TMA00315,False,False,False,none
aaibhiea-1,TMA00315,False,False,False,none
aaieniem-1,TMA00315,False,False,False,none
aaikikhe-1,TMA00315,False,False,False,none
aaipbopc-1,TMA00315,False,False,False,none
aajaddbc-1,TMA00315,False,False,False,none
aajahcgm-1,TMA00315,False,False,False,none
aajaigep-1,TMA00315,False,False,False,none
aajbnfpk-1,TMA00315,False,False,False,none
aajfbjcj-1,TMA00315,False,False,False,none
aajgjcom-1,TMA00315,False,False,False,none
aajgkdce-1,TMA00315,False,False,False,none
aajhgncc-1,TMA00315,False,False,False,none
aajhjgka-1,TMA00315,False,False,False,none
aajmoieg-1,TMA00315,False,False,False,none
aakaljdo-1,TMA00315,False,False,False,none
aakaohhp-1,TMA00315,False,False,False,none
aakblimc-1,TMA00315,False,False,False,none
aakcfngd-1,TMA00315,False,False,False,none
aakdpjce-1,TMA00315,False,False,False,none
aakkmnke-1,TMA00315,False,False,False,none
aakmcbnp-1,TMA00315,False,False,False,none
aakmngan-1,TMA00315,False,False,False,none
aakpdgdi-1,TMA00315,False,False,False,none
aalfemdb-1,TMA00315,False,False,False,none
aalfkkce-1,TMA00315,False,False,False,none
aalgiiaj-1,TMA00315,False,False,False,none
aalihnll-1,TMA00315,False,False,False,none
aalldkne-1,TMA00315,False,False,False,none
aalpnnli-1,TMA00315,False,False,False,none
aamablfa-1,TMA00315,False,False,False,none
aamfknlk-1,TMA00315,False,False,False,none
aamhhnkh-1,TMA00315,False,False,False,none
aamkioca-1,TMA00315,False,False,False,none
aamnkdha-1,TMA00315,False,False,False,none
aancldpi-1,TMA00315,False,False,False,none
aanfclio-1,TMA00315,False,False,False,none
aanhhkkg-1,TMA00315,False,False,False,none
aankfolj-1,TMA00315,False,False,False,none
aanmdnpf-1,TMA00315,False,False,False,none
aanohmpa-1,TMA00315,False,False,False,none
aanokhcd-1,TMA00315,False,False,False,none
aaoabngi-1,TMA00315,False,False,False,none
aaocjbel-1,TMA00315,False,False,False,none
aaoebcgl-1,TMA00315,False,False,False,none
aaogckcn-1,TMA00315,False,False,False,none
aapiinfk-1,TMA00315,False,False,False,none
aapnijdo-1,TMA00315,False,False,False,none
aapojnce-1,TMA00315,False,False,False,none
ababbinf-1,TMA00315,False,False,False,none
abadhgkh-1,TMA00315,False,False,False,none
abafbpog-1,TMA00315,False,False,False,none
abajmlmd-1,TMA00315,False,False,False,none
abalkedn-1,TMA00315,False,False,False,none
abankgda-1,TMA00315,False,False,False,none
abapenac-1,TMA00315,False,False,False,none
abbillek-1,TMA00315,False,False,False,none
abceipbc-1,TMA00315,False,False,False,none
abcfkagh-1,TMA00315,False,False,False,none
abcjgdhh-1,TMA00315,False,False,False,none
abckcfld-1,TMA00315,False,False,False,none
abcocgmf-1,TMA00315,False,False,False,none
abdbfkfe-1,TMA00315,False,False,False,none
abdbhnhf-1,TMA00315,False,False,False,none
abdfiagg-1,TMA00315,False,False,False,none
abdgkcnk-1,TMA00315,False,False,False,none
abdhaopn-1,TMA00315,False,False,False,none
abdinpgk-1,TMA00315,False,False,False,none
abdklgnh-1,TMA00315,False,False,False,none
abdmocaf-1,TMA00315,False,False,False,none
abeckdlk-1,TMA00315,False,False,False,none
abedkdca-1,TMA00315,False,False,False,none
abeeblji-1,TMA00315,False,False,False,none
abeempeb-1,TMA00315,False,False,False,none
abfapgkd-1,TMA00315,False,False,False,none
abfjgadk-1,TMA00315,False,False,False,none
abfmblli-1,TMA00315,False,False,False,none
abfmefgd-1,TMA00315,False,False,False,none
abfpabih-1,TMA00315,False,False,False,none
abgcgkmk-1,TMA00315,False,False,False,none
abgcobln-1,TMA00315,False,False,False,none
abgcpmlh-1,TMA00315,False,False,False,none
abgffphd-1,TMA00315,False,False,False,none
abgkidlm-1,TMA00315,False,False,False,none
abgkmpao-1,TMA00315,False,False,False,none
abgohaib-1,TMA00315,False,False,False,none
abhankmn-1,TMA00315,False,False,False,none
abhdbppe-1,TMA00315,False,False,False,none
abhdgnln-1,TMA00315,False,False,False,none
abhigami-1,TMA00315,False,False,False,none
abhlkiad-1,TMA00315,False,False,False,none
abhmeecg-1,TMA00315,False,False,False,none
abiachim-1,TMA00315,False,False,False,none
abiammjp-1,TMA00315,False,False,False,none
abifndjh-1,TMA00315,False,False,False,none
abifolan-1,TMA00315,False,False,False,none
abighmoa-1,TMA00315,False,False,False,none
abiigiak-1,TMA00315,False,False,False,none
abjgfded-1,TMA00315,False,False,False,none
abjiglga-1,TMA00315,False,False,False,none
abjimnkd-1,TMA00315,False,False,False,none
abjjabob-1,TMA00315,False,False,False,none
abjjebci-1,TMA00315,False,False,False,none
abjjgpaf-1,TMA00315,False,False,False,none
abjjkgib-1,TMA00315,False,False,False,none
abjkhhef-1,TMA00315,False,False,False,none
abjncdgl-1,TMA00315,False,False,False,none
abjnjapp-1,TMA00315,False,False,False,none
abjnjhgp-1,TMA00315,False,False,False,none
abkbdgkg-1,TMA00315,False,False,False,none
abkefjcc-1,TMA00315,False,False,False,none
abkiimaa-1,TMA00315,False,False,False,none
abkknbdh-1,TMA00315,False,False,False,none
abkpaigp-1,TMA00315,False,False,False,none
ablcijoe-1,TMA00315,False,False,False,none
ablfjomf-1,TMA00315,False,False,False,none
ablfohpd-1,TMA00315,False,False,False,none
ablgbdfj-1,TMA00315,False,False,False,none
ablhdacb-1,TMA00315,False,False,False,none
ablkpknl-1,TMA00315,False,False,False,none
abmbnihc-1,TMA00315,False,False,False,none
abmdjbdo-1,TMA00315,False,False,False,none
abmknbab-1,TMA00315,False,False,False,none
abmlfnae-1,TMA00315,False,False,False,none
abmmkleh-1,TMA00315,False,False,False,none
abmpapki-1,TMA00315,False,False,False,none
abnfihkc-1,TMA00315,False,False,False,none
abnnjokk-1,TMA00315,False,False,False,none
abodlokk-1,TMA00315,False,False,False,none
aboflkki-1,TMA00315,False,False,False,none
aboibfoi-1,TMA00315,False,False,False,none
aboidbmj-1,TMA00315,False,False,False,none
aboinogf-1,TMA00315,False,False,False,none
abojncpb-1,TMA00315,False,False,False,none
abokmgdo-1,TMA00315,False,False,False,none
aboknogo-1,TMA00315,False,False,False,none
aboofpji-1,TMA00315,False,False,False,none
abpbghmh-1,TMA00315,False,False,False,none
abpcikcj-1,TMA00315,False,False,False,none
abphieaa-1,TMA00315,False,False,False,none
acaknbfa-1,TMA00315,False,False,False,none
acakonbi-1,TMA00315,False,False,False,none
acalcokl-1,TMA00315,False,False,False,none
acapfjlp-1,TMA00315,False,False,False,none
acbfghno-1,TMA00315,False,False,False,none
acbgppie-1,TMA00315,False,False,False,none
acbhgpih-1,TMA00315,False,False,False,none
acbinldn-1,TMA00315,False,False,False,none
acbkcblp-1,TMA00315,False,False,False,none
acbmekig-1,TMA00315,False,False,False,none
acbmhfao-1,TMA00315,False,False,False,none
acbngklf-1,TMA00315,False,False,False,none
acbplcma-1,TMA00315,False,False,False,none
accdkfme-1,TMA00315,False,False,False,none
accgndek-1,TMA00315,False,False,False,none
accmejgi-1,TMA00315,False,False,False,none
accmlggk-1,TMA00315,False,False,False,none
accocjmd-1,TMA00315,False,False,False,none
accpghdp-1,TMA00315,False,False,False,none
acdbgpna-1,TMA00315,False,False,False,none
acdefeao-1,TMA00315,False,False,False,none
acdeooof-1,TMA00315,False,False,False,none
acdfbgco-1,TMA00315,False,False,False,none
acdfiadj-1,TMA00315,False,False,False,none
acdgodki-1,TMA00315,False,False,False,none
acdkeljb-1,TMA00315,False,False,False,none
acedabbh-1,TMA00315,False,False,False,none
acedlbda-1,TMA00315,False,False,False,none
acegnbci-1,TMA00315,False,False,False,none
acehfloa-1,TMA00315,False,False,False,none
acekcmjp-1,TMA00315,False,False,False,none
acfdcglh-1,TMA00315,False,False,False,none
acfffahh-1,TMA00315,False,False,False,none
acfkadmi-1,TMA00315,False,False,False,none
acfkdehg-1,TMA00315,False,False,False,none
acfmhadm-1,TMA00315,False,False,False,none
acfmkpmj-1,TMA00315,False,False,False,none
acgannco-1,TMA00315,False,False,False,none
acgbmald-1,TMA00315,False,False,False,none
acgimhmm-1,TMA00315,False,False,False,none
acgldfkp-1,TMA00315,False,False,False,none
acglndmd-1,TMA00315,False,False,False,none
acgoffed-1,TMA00315,False,False,False,none
achefbgp-1,TMA00315,False,False,False,none
achfcbcc-1,TMA00315,False,False,False,none
achgglog-1,TMA00315,False,False,False,none
achhkbjm-1,TMA00315,False,False,False,none
achikchp-1,TMA00315,False,False,False,none
achiopgb-1,TMA00315,False,False,False,none
achncdmi-1,TMA00315,False,False,False,none
achnolbc-1,TMA00315,False,False,False,none
achojdke-1,TMA00315,False,False,False,none
aciafikk-1,TMA00315,False,False,False,none
acialdni-1,TMA00315,False,False,False,none
aciapdih-1,TMA00315,False,False,False,none
acidhfbn-1,TMA00315,False,False,False,none
acifdobl-1,TMA00315,False,False,False,none
acigmhcg-1,TMA00315,False,False,False,none
acikfibh-1,TMA00315,False,False,False,none
acilepja-1,TMA00315,False,False,False,none
acimdjen-1,TMA00315,False,False,False,none
acjhciac-1,TMA00315,False,False,False,none
acjhnemp-1,TMA00315,False,False,False,none
acjindph-1,TMA00315,False,False,False,none
acjkbifc-1,TMA00315,False,False,False,none
acjlagla-1,TMA00315,False,False,False,none
ackeiofj-1,TMA00315,False,False,False,none
ackifdkf-1,TMA00315,False,False,False,none
ackkeejp-1,TMA00315,False,False,False,none
acknjenb-1,TMA00315,False,False,False,none
aclefcnj-1,TMA00315,False,False,False,none
aclgfkep-1,TMA00315,False,False,False,none
aclmdcnc-1,TMA00315,False,False,False,none
acmcmmad-1,TMA00315,False,False,False,none
acmhalgn-1,TMA00315,False,False,False,none
acmhlobn-1,TMA00315,False,False,False,none
acmililm-1,TMA00315,False,False,False,none
acmiobmn-1,TMA00315,False,False,False,none
acmjifmh-1,TMA00315,False,False,False,none
acmlndkd-1,TMA00315,False,False,False,none
acmlphfm-1,TMA00315,False,False,False,none
acmnjacc-1,TMA00315,False,False,False,none
acmopjno-1,TMA00315,False,False,False,none
acnemmmo-1,TMA00315,False,False,False,none
acnhcadh-1,TMA00315,True,False,False,EGFP_Seq1_hi
acnipnon-1,TMA00315,False,False,False,none
acnjipmm-1,TMA00315,False,False,False,none
acnllecm-1,TMA00315,False,False,False,none
acnmjaeh-1,TMA00315,False,False,False,none
acnohphf-1,TMA00315,False,False,False,none
acofcdeb-1,TMA00315,False,False,False,none
acofplid-1,TMA00315,False,False,False,none
acpaenkn-1,TMA00315,False,False,False,none
acpgooam-1,TMA00315,False,False,False,none
acphcjog-1,TMA00315,False,False,False,none
acpipfdo-1,TMA00315,False,False,False,none
acpjeogf-1,TMA00315,False,False,False,none
acplejjn-1,TMA00315,False,False,False,none
acpmlloc-1,TMA00315,False,False,False,none
adaapcoi-1,TMA00315,False,False,False,none
adagnpha-1,TMA00315,False,False,False,none
adbapblp-1,TMA00315,False,False,False,none
adbebjhg-1,TMA00315,False,False,False,none
adbjhkip-1,TMA00315,False,False,False,none
adbmikbk-1,TMA00315,False,False,False,none
adbmlcbi-1,TMA00315,False,False,False,none
adbocopd-1,TMA00315,False,False,False,none
adcabmia-1,TMA00315,False,False,False,none
adcaglcm-1,TMA00315,False,False,False,none
adcbemnb-1,TMA00315,False,False,False,none
adcbiaab-1,TMA00315,False,False,False,none
adcfcgdh-1,TMA00315,False,False,False,none
adcgipjl-1,TMA00315,False,False,False,none
adchkink-1,TMA00315,False,False,False,none
adcobapc-1,TMA00315,False,False,False,none
addachcd-1,TMA00315,False,False,False,none
addpebed-1,TMA00315,False,False,False,none
adeaiofp-1,TMA00315,False,False,False,none
adednkki-1,TMA00315,False,False,False,none
adefmfab-1,TMA00315,False,False,False,none
adefogmg-1,TMA00315,False,False,False,none
adekaigp-1,TMA00315,False,False,False,none
adekjeef-1,TMA00315,False,False,False,none
adfcgbig-1,TMA00315,False,False,False,none
adfijkej-1,TMA00315,False,False,False,none
adfjikga-1,TMA00315,False,False,False,none
adflelhm-1,TMA00315,False,False,False,none
adfljaaa-1,TMA00315,False,False,False,none
adflpoeo-1,TMA00315,False,False,False,none
adflpokn-1,TMA00315,False,False,False,none
adfmhjdp-1,TMA00315,False,False,False,none
adgcigji-1,TMA00315,False,False,False,none
adgdnjci-1,TMA00315,False,False,False,none
adgeiahp-1,TMA00315,False,False,False,none
adgeoioh-1,TMA00315,False,False,False,none
adghnfmf-1,TMA00315,False,False,False,none
adglmcpj-1,TMA00315,False,False,False,none
adgnnaoa-1,TMA00315,False,False,False,none
adgollgg-1,TMA00315,False,False,False,none
adhamail-1,TMA00315,False,False,False,none
adhbdcoj-1,TMA00315,False,False,False,none
adhcpijb-1,TMA00315,False,False,False,none
adhjoikc-1,TMA00315,False,True,False,dTomato_Seq2_hi
adhleddk-1,TMA00315,False,False,False,none
adhnlpho-1,TMA00315,False,False,False,none
adhoeimj-1,TMA00315,False,False,False,none
adhpleck-1,TMA00315,False,False,False,none
adhpnamm-1,TMA00315,False,False,False,none
adiahacf-1,TMA00315,False,False,False,none
adidagdk-1,TMA00315,False,False,False,none
adidilab-1,TMA00315,False,False,False,none
adifcedl-1,TMA00315,False,False,False,none
adihifij-1,TMA00315,False,False,False,none
adijaffa-1,TMA00315,False,False,False,none
adjcpbbo-1,TMA00315,False,False,False,none
adjdacdn-1,TMA00315,False,False,False,none
adjdcncm-1,TMA00315,False,False,False,none
adjjmmch-1,TMA00315,False,False,False,none
adjkaicm-1,TMA00315,False,False,False,none
adjkeofm-1,TMA00315,False,False,False,none
adjmeccc-1,TMA00315,False,False,False,none
adkdbjfd-1,TMA00315,False,False,False,none
adkiemge-1,TMA00315,False,False,False,none
adklokcc-1,TMA00315,False,False,False,none
adkmkdaj-1,TMA00315,False,False,False,none
adkoehea-1,TMA00315,False,False,False,none
adkolmep-1,TMA00315,False,False,False,none
adlanahi-1,TMA00315,False,False,False,none
adlcfdpf-1,TMA00315,False,False,False,none
adlchkjp-1,TMA00315,False,False,False,none
admbbggb-1,TMA00315,False,False,False,none
admcbhdh-1,TMA00315,False,False,False,none
admfampa-1,TMA00315,False,False,False,none
admlpokl-1,TMA00315,False,False,False,none
admoifid-1,TMA00315,False,False,False,none
adnaancn-1,TMA00315,False,False,False,none
adnadncm-1,TMA00315,False,False,False,none
adnalljl-1,TMA00315,False,False,False,none
adncpbhp-1,TMA00315,False,False,False,none
adnejjad-1,TMA00315,False,False,False,none
adofajag-1,TMA00315,False,False,False,none
adpimmgm-1,TMA00315,False,False,False,none
adponhkc-1,TMA00315,False,False,False,none
aeaanfdf-1,TMA00315,False,False,False,none
aeaaonmh-1,TMA00315,False,False,False,none
aeabdkjm-1,TMA00315,False,False,False,none
aeadeile-1,TMA00315,False,False,False,none
aeafkjna-1,TMA00315,False,False,False,none
aeaghkkf-1,TMA00315,False,False,False,none
aeagicpb-1,TMA00315,False,False,False,none
aeagimlp-1,TMA00315,False,False,False,none
aeahombm-1,TMA00315,False,False,False,none
aealglgi-1,TMA00315,False,False,False,none
aeaopjmi-1,TMA00315,False,False,False,none
aebcfljp-1,TMA00315,False,False,False,none
aebfggif-1,TMA00315,False,False,False,none
aebgkfpo-1,TMA00315,False,False,False,none
aebjiaph-1,TMA00315,False,False,False,none
aeblnhjm-1,TMA00315,False,False,False,none
aecajocf-1,TMA00315,False,False,False,none
aeccgmie-1,TMA00315,False,False,False,none
aeccnhja-1,TMA00315,False,False,False,none
aecejeof-1,TMA00315,False,False,False,none
aecfpjkk-1,TMA00315,False,False,False,none
aecjkiha-1,TMA00315,False,False,False,none
aedblacc-1,TMA00315,False,False,False,none
aeddegni-1,TMA00315,False,False,False,none
aedhface-1,TMA00315,False,False,False,none
aedjkjfd-1,TMA00315,False,False,False,none
aedkfhcc-1,TMA00315,False,False,False,none
aedkmeoo-1,TMA00315,False,False,False,none
aeeakkje-1,TMA00315,False,False,False,none
aeegbdge-1,TMA00315,False,False,False,none
aeelfcmn-1,TMA00315,False,False,False,none
aeelfpdg-1,TMA00315,False,False,False,none
aeemplhf-1,TMA00315,False,False,False,none
aeeoelji-1,TMA00315,False,False,False,none
aeepjiom-1,TMA00315,False,False,False,none
aefggppf-1,TMA00315,False,False,False,none
aefhbhhh-1,TMA00315,False,False,False,none
