cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aabglidd-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aabjnhih-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
aablaoak-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
aablffff-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aabpkpbk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aacaoile-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaccmmjg-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
aacginho-1,TMA00318,Adelta-LTMR,False,False,False,Adelta-LTMR
aacigdkk-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aadaiegm-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
aadiignh-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
aaelejgn-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaeobihh-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aafbcnmo-1,TMA00318,CGRP-Zeta,False,False,False,CGRP-Zeta
aaffnofi-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aafndada-1,TMA00318,C-LTMR,False,False,False,C-LTMR
aagbhelh-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaggcmkp-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aaicdobg-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aailfdhi-1,TMA00318,CGRP-Alpha,False,False,False,CGRP-Alpha
aajaffan-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aanadnmh-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
aancalka-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aanfjhjp-1,TMA00318,TrpM8,False,False,False,TrpM8
aaolgfhc-1,TMA00318,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aaomiikn-1,TMA00318,TrpM8,False,False,False,TrpM8
aapdahgj-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aapfanjm-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aapfemkb-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aapghjhe-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
abaagonj-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
abacefjb-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
abaoccmh-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
abbalkia-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
abbddiop-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
abbfcjda-1,TMA00318,Proprioceptors,True,False,False,Proprioceptors
abbhdggp-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abbldofm-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abbnlloh-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abcebdmj-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
abchojki-1,TMA00318,CGRP-Epsilion,False,False,False,CGRP-Epsilion
abcimoan-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
abclbeno-1,TMA00318,Adelta-LTMR,False,False,False,Adelta-LTMR
abconjof-1,TMA00318,CGRP-Zeta,False,False,False,CGRP-Zeta
abcoollc-1,TMA00318,C-LTMR,False,False,False,C-LTMR
abdcgokd-1,TMA00318,TrpM8,False,False,False,TrpM8
abdehjcp-1,TMA00318,Sst,False,False,False,Sst
abdhmaic-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abdhopma-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
abdnbkkd-1,TMA00318,Proprioceptors,False,False,False,Proprioceptors
abdndjmi-1,TMA00318,CGRP-Zeta,False,False,False,CGRP-Zeta
abecablp-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
abecccoi-1,TMA00318,C-LTMR,False,False,False,C-LTMR
abecgjpa-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
abehmfjf-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abejggpc-1,TMA00318,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
abfankef-1,TMA00318,CGRP-Eta,False,False,False,CGRP-Eta
abfigeah-1,TMA00318,C-LTMR,False,False,False,C-LTMR
abfkbcim-1,TMA00318,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
abflodbh-1,TMA00318,CGRP-Epsilion,False,False,False,CGRP-Epsilion
abgaehop-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
abgaffhf-1,TMA00318,Abeta-Field,False,False,False,Abeta-Field
abgbjldg-1,TMA00318,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
abgboabp-1,TMA00318,CGRP-Theta,False,False,False,CGRP-Theta
abgfbcjc-1,TMA00318,TrpM8,False,False,False,TrpM8
abghbakn-1,TMA00318,TrpM8,False,False,False,TrpM8
abgpoinn-1,TMA00318,C-LTMR,False,False,False,C-LTMR
abhgfdgh-1,TMA00318,CGRP-Alpha,False,False,False,CGRP-Alpha
abhijdlp-1,TMA00318,CGRP-Alpha,False,False,False,CGRP-Alpha
