cell_id,sample_id,neuron_label,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaahbdia-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaakgcko-1,TMA00317,Abeta-RA-LTMR,False,False,False,Abeta-RA-LTMR
aaanbmpi-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aaangnjd-1,TMA00317,Adelta-LTMR,False,False,False,Adelta-LTMR
aabakkkd-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
aabfimef-1,TMA00317,C-LTMR,False,False,False,C-LTMR
aabldngg-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aabpmlje-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aacconbo-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aacmjdkh-1,TMA00317,CGRP-Gamma 1,False,False,False,CGRP-Gamma 1
aacnibif-1,TMA00317,CGRP-Alpha,False,False,False,CGRP-Alpha
aadeddal-1,TMA00317,C-LTMR,False,False,False,C-LTMR
aadehopp-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
aadekgom-1,TMA00317,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aadjhmkg-1,TMA00317,Proprioceptors,False,False,False,Proprioceptors
aadjnmld-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aadkokmo-1,TMA00317,TrpM8,False,False,False,TrpM8
aadmbakn-1,TMA00317,CGRP-Zeta,False,False,False,CGRP-Zeta
aadncfdj-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
aadnhpaa-1,TMA00317,CGRP-Eta,False,False,False,CGRP-Eta
aadonhbp-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
aadooile-1,TMA00317,TrpM8,False,False,False,TrpM8
aaecgbdi-1,TMA00317,TrpM8,False,False,False,TrpM8
aaefgpnn-1,TMA00317,CGRP-Epsilion,False,False,False,CGRP-Epsilion
aaefkdee-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
aaeinpog-1,TMA00317,Adelta-LTMR,False,False,False,Adelta-LTMR
aaekcaho-1,TMA00317,CGRP-Theta,False,False,False,CGRP-Theta
aaepgjic-1,TMA00317,Nonpeptidergic nociceptors,False,False,False,Nonpeptidergic nociceptors
