cell_id,sample_id,EGFP_Seq1_hi,dTomato_Seq2_hi,EGFP_dTomato_dual_hi,group
aaabecpg-1,TMA00317,False,False,False,none
aaahbdia-1,TMA00317,False,False,False,none
aaahhimm-1,TMA00317,False,False,False,none
aaakgcko-1,TMA00317,False,False,False,none
aaanbmpi-1,TMA00317,False,False,False,none
aaangnjd-1,TMA00317,False,False,False,none
aabakkkd-1,TMA00317,False,False,False,none
aabfimef-1,TMA00317,False,False,False,none
aabghljc-1,TMA00317,False,False,False,none
aabigfai-1,TMA00317,False,False,False,none
aabikkno-1,TMA00317,False,False,False,none
aabldngg-1,TMA00317,False,False,False,none
aabpmlje-1,TMA00317,False,False,False,none
aacconbo-1,TMA00317,False,False,False,none
aacmjdkh-1,TMA00317,False,False,False,none
aacnibif-1,TMA00317,False,False,False,none
aadeddal-1,TMA00317,False,False,False,none
aadehopp-1,TMA00317,False,False,False,none
aadekgom-1,TMA00317,False,False,False,none
aadjhmkg-1,TMA00317,False,False,False,none
aadjnmld-1,TMA00317,False,False,False,none
aadkokmo-1,TMA00317,False,False,False,none
aadmbakn-1,TMA00317,False,False,False,none
aadncfdj-1,TMA00317,False,False,False,none
aadnhpaa-1,TMA00317,False,False,False,none
aadonhbp-1,TMA00317,False,False,False,none
aadooile-1,TMA00317,False,False,False,none
aaecgbdi-1,TMA00317,False,False,False,none
aaefgpnn-1,TMA00317,False,False,False,none
aaefkdee-1,TMA00317,False,False,False,none
aaeinpog-1,TMA00317,False,False,False,none
aaekcaho-1,TMA00317,False,False,False,none
aaemjiko-1,TMA00317,False,False,False,none
aaepgjic-1,TMA00317,False,False,False,none
aafeldil-1,TMA00317,False,False,False,none
aaffpdcb-1,TMA00317,False,False,False,none
aafhecpk-1,TMA00317,False,False,False,none
aafndjib-1,TMA00317,False,False,False,none
aagcnobj-1,TMA00317,False,False,False,none
aaghjfdn-1,TMA00317,False,False,False,none
aaglffid-1,TMA00317,False,False,False,none
aaglpmka-1,TMA00317,False,False,False,none
aahchglf-1,TMA00317,False,False,False,none
aahogpam-1,TMA00317,False,False,False,none
aahohkdl-1,TMA00317,False,False,False,none
aaibagfd-1,TMA00317,False,False,False,none
aaihlgfj-1,TMA00317,False,False,False,none
aaijpdfl-1,TMA00317,False,False,False,none
aailgdhk-1,TMA00317,False,False,False,none
aaimamok-1,TMA00317,False,False,False,none
aaimjeip-1,TMA00317,False,False,False,none
aaindeea-1,TMA00317,False,False,False,none
aaiopppb-1,TMA00317,False,False,False,none
aajcffem-1,TMA00317,False,False,False,none
aajcpcol-1,TMA00317,False,False,False,none
aajdgiae-1,TMA00317,False,False,False,none
aajjalje-1,TMA00317,False,False,False,none
aajpmohe-1,TMA00317,False,False,False,none
aajpomjj-1,TMA00317,False,False,False,none
aakbpole-1,TMA00317,False,False,False,none
aaklmcoc-1,TMA00317,False,False,False,none
aakpgjia-1,TMA00317,False,False,False,none
aalgoddn-1,TMA00317,False,False,False,none
aalkfcbg-1,TMA00317,False,False,False,none
aalnaegh-1,TMA00317,False,False,False,none
aalnoaoh-1,TMA00317,False,False,False,none
aamccmif-1,TMA00317,False,False,False,none
aamefpka-1,TMA00317,False,False,False,none
aamehgcj-1,TMA00317,False,False,False,none
aamhncne-1,TMA00317,False,False,False,none
aamigkon-1,TMA00317,False,False,False,none
aampmeak-1,TMA00317,False,False,False,none
aanhbjag-1,TMA00317,False,False,False,none
abdidaoa-1,TMA00317,False,False,False,none
abefcigk-1,TMA00317,False,False,False,none
abeniala-1,TMA00317,False,False,False,none
abfbekaj-1,TMA00317,False,False,False,none
abffpfbp-1,TMA00317,False,False,False,none
abffplnd-1,TMA00317,False,False,False,none
abfgmkmk-1,TMA00317,False,False,False,none
abfphgli-1,TMA00317,False,False,False,none
abgagmap-1,TMA00317,False,False,False,none
abgjecmh-1,TMA00317,False,False,False,none
abglpnka-1,TMA00317,False,False,False,none
abgnnmnc-1,TMA00317,False,False,False,none
abhceega-1,TMA00317,False,False,False,none
abhedpeg-1,TMA00317,False,False,False,none
abhinmbj-1,TMA00317,False,False,False,none
abhnegog-1,TMA00317,False,False,False,none
abhnggkd-1,TMA00317,False,False,False,none
abhpgbkn-1,TMA00317,False,False,False,none
abiekibl-1,TMA00317,False,False,False,none
abigbhfa-1,TMA00317,False,False,False,none
abiimgfh-1,TMA00317,False,False,False,none
abjeobfe-1,TMA00317,False,False,False,none
abjghjce-1,TMA00317,False,False,False,none
abjiibgm-1,TMA00317,False,False,False,none
abkccfhe-1,TMA00317,False,False,False,none
abkeiknn-1,TMA00317,False,False,False,none
abkggehk-1,TMA00317,False,False,False,none
abkjbgol-1,TMA00317,False,False,False,none
abldfidd-1,TMA00317,False,False,False,none
ablkpeig-1,TMA00317,False,False,False,none
ablmdifk-1,TMA00317,False,False,False,none
ablpgfgh-1,TMA00317,False,False,False,none
abmajhpf-1,TMA00317,False,False,False,none
abmgkndp-1,TMA00317,False,False,False,none
abmhdpbj-1,TMA00317,False,False,False,none
abmhjemo-1,TMA00317,False,False,False,none
abmifjcl-1,TMA00317,False,False,False,none
abmkfake-1,TMA00317,False,False,False,none
abmlebfd-1,TMA00317,False,False,False,none
abmmdpbi-1,TMA00317,False,False,False,none
abnbjjhl-1,TMA00317,False,False,False,none
abnckjkm-1,TMA00317,False,False,False,none
abndfooi-1,TMA00317,False,False,False,none
abnghiln-1,TMA00317,False,False,False,none
abnheecj-1,TMA00317,False,False,False,none
abnjijgh-1,TMA00317,False,False,False,none
abnmelab-1,TMA00317,False,False,False,none
abnmfogd-1,TMA00317,False,False,False,none
abodjmba-1,TMA00317,False,False,False,none
aboidaaa-1,TMA00317,False,False,False,none
aboipall-1,TMA00317,False,False,False,none
abojccak-1,TMA00317,False,False,False,none
abookghb-1,TMA00317,False,False,False,none
abooogao-1,TMA00317,False,False,False,none
abopgkge-1,TMA00317,False,False,False,none
abophkid-1,TMA00317,False,False,False,none
